"count","sum","year","month"
12,0.03,"1994","09"
636,9.22,"1994","10"
1152,9.04,"1994","11"
1188,12.66,"1994","12"
1464,9.76,"1995","01"
636,7.88,"1995","02"
1044,6.82,"1995","03"
804,5.57,"1995","04"
336,2,"1995","05"
336,2.12,"1995","06"
144,1.72,"1995","07"
228,1.61,"1995","08"
408,3.66,"1995","09"
756,7.08,"1995","10"
1452,17.12,"1995","11"
1116,8.82,"1995","12"
744,5.71,"1996","01"
1044,13.41,"1996","02"
732,4.05,"1996","03"
996,9.8,"1996","04"
732,4.2,"1996","05"
300,1.83,"1996","06"
264,1.44,"1996","07"
108,0.31,"1996","08"
564,3.64,"1996","09"
936,8.6,"1996","10"
1344,10.41,"1996","11"
1392,13.45,"1996","12"
996,6.49,"1997","01"
984,6.55,"1997","02"
1452,12.4,"1997","03"
876,5.76,"1997","04"
564,3.6,"1997","05"
624,3.66,"1997","06"
168,1.36,"1997","07"
300,1.83,"1997","08"
900,4.49,"1997","09"
492,0.85,"1997","10"
1008,7.12,"1997","11"
900,6.23,"1997","12"
1464,11.44,"1998","01"
1128,5.71,"1998","02"
972,7.97,"1998","03"
504,1.53,"1998","04"
360,1.11,"1998","05"
84,0.27,"1998","07"
24,0.17,"1998","08"
144,0.43,"1998","09"
492,3.53,"1998","10"
1332,14.49,"1998","11"
1308,13.45,"1998","12"
1284,13.44,"1999","01"
816,7.58,"1999","02"
1236,8.38,"1999","03"
636,2.53,"1999","04"
684,3.79,"1999","05"
552,2.14,"1999","06"
72,0.3,"1999","07"
36,0.11,"1999","09"
324,1.9,"1999","10"
